vehicle_id,Waiting_time
HDV_4,537
HDV_2,841
HDV_1,630
HDV_7,1243
HDV_5,584
HDV_11,1015
HDV_13,377
HDV_8,161
HDV_10,644
HDV_14,1104
HDV_17,190
HDV_19,177
HDV_23,488
HDV_20,426
HDV_26,687
HDV_16,965
HDV_32,472
HDV_29,175
HDV_38,751
HDV_37,615
HDV_22,386
HDV_34,2020
HDV_35,472
HDV_31,161
HDV_28,683
HDV_25,757
HDV_41,303
HDV_40,1000
HDV_44,782
HDV_43,260
HDV_49,1089
HDV_55,667
HDV_53,1424
HDV_46,16
HDV_50,621
HDV_47,438
CAV_3,1
HDV_58,226
HDV_61,534
HDV_59,46
HDV_68,1243
HDV_65,862
HDV_71,1476
HDV_64,357
HDV_67,420
HDV_73,644
HDV_80,274
HDV_82,603
HDV_74,947
HDV_85,663
HDV_86,623
HDV_79,96
HDV_77,246
HDV_70,778
HDV_76,354
HDV_91,226
HDV_92,1568
HDV_89,1056
HDV_88,64
HDV_95,580
HDV_94,322
HDV_97,843
HDV_98,999
HDV_101,643
HDV_103,858
HDV_107,1822
HDV_106,332
HDV_110,1151
HDV_100,647
HDV_112,467
HDV_113,1359
HDV_115,585
HDV_104,71
HDV_116,94
HDV_119,154
HDV_121,486
HDV_118,598
HDV_124,672
HDV_127,462
HDV_125,810
HDV_133,1439
HDV_128,402
HDV_137,938
HDV_131,54
HDV_130,467
HDV_134,202
HDV_136,758
HDV_143,1762
HDV_145,805
HDV_142,1107
HDV_148,891
HDV_139,640
HDV_140,299
HDV_154,986
HDV_155,824
HDV_160,487
HDV_167,109
HDV_161,857
HDV_158,2173
HDV_163,1522
HDV_164,1084
HDV_170,624
HDV_173,460
HDV_172,632
HDV_175,901
HDV_176,747
HDV_169,413
HDV_184,640
HDV_178,513
HDV_187,1272
HDV_181,437
HDV_182,477
HDV_188,281
HDV_190,326
HDV_185,177
HDV_199,682
HDV_197,702
HDV_191,222
HDV_193,212
HDV_196,877
HDV_202,145
HDV_194,128
HDV_205,466
HDV_206,703
HDV_203,1392
CAV_168,1
HDV_212,323
HDV_215,1042
HDV_208,24
HDV_217,918
HDV_214,578
HDV_220,535
HDV_221,566
HDV_226,551
HDV_223,1344
HDV_211,487
HDV_224,456
HDV_218,513
HDV_227,613
HDV_230,436
HDV_235,1173
HDV_229,588
HDV_239,482
HDV_236,1089
HDV_232,551
HDV_238,260
HDV_242,891
HDV_241,220
HDV_248,442
HDV_244,723
HDV_250,859
HDV_247,171
HDV_251,574
HDV_254,942
HDV_257,878
HDV_259,411
HDV_256,487
HDV_253,409
HDV_245,466
HDV_263,719
HDV_266,349
HDV_268,1519
HDV_271,903
HDV_260,169
HDV_274,693
HDV_272,494
HDV_269,974
HDV_265,441
HDV_275,574
HDV_277,335
HDV_278,858
HDV_280,504
HDV_281,467
HDV_287,1443
HDV_289,1089
HDV_290,1190
HDV_284,972
HDV_292,501
HDV_296,921
HDV_295,153
HDV_299,330
HDV_298,827
HDV_301,494
HDV_286,274
HDV_302,1419
HDV_305,624
HDV_304,245
HDV_310,65
HDV_313,500
HDV_316,777
HDV_314,446
HDV_317,1095
HDV_320,1556
HDV_319,675
HDV_308,348
HDV_322,1675
HDV_328,11
HDV_323,1541
HDV_329,1274
HDV_331,727
HDV_326,560
HDV_334,183
HDV_325,169
HDV_332,414
HDV_338,818
HDV_335,510
HDV_337,174
HDV_340,553
HDV_343,205
HDV_341,74
HDV_347,205
HDV_350,678
HDV_344,1712
HDV_349,1024
HDV_352,164
HDV_355,894
HDV_359,98
HDV_356,837
HDV_353,837
HDV_362,871
HDV_364,1242
HDV_361,516
HDV_367,831
HDV_371,1296
HDV_373,1441
HDV_374,939
HDV_376,830
HDV_370,586
HDV_379,962
HDV_382,872
HDV_368,1281
HDV_383,338
HDV_385,1113
HDV_386,1040
HDV_377,1190
HDV_392,100
HDV_388,350
HDV_398,11
HDV_400,1728
HDV_404,2327
HDV_389,1356
HDV_394,759
HDV_395,827
HDV_403,257
HDV_409,473
HDV_407,1432
HDV_406,413
HDV_419,1932
HDV_412,831
HDV_418,951
HDV_421,1038
HDV_425,1167
HDV_413,208
HDV_427,1232
HDV_430,136
HDV_428,1018
HDV_424,133
HDV_422,234
HDV_431,865
HDV_434,1409
HDV_437,746
HDV_433,43
HDV_436,104
HDV_449,402
HDV_446,952
HDV_440,423
HDV_442,1017
HDV_443,371
HDV_448,1018
HDV_439,1163
HDV_452,827
HDV_454,30
HDV_451,631
HDV_458,300
HDV_457,713
HDV_461,825
HDV_463,346
HDV_460,685
HDV_464,821
HDV_467,406
HDV_466,686
HDV_472,1070
HDV_445,6
HDV_455,8
HDV_481,489
HDV_478,396
HDV_476,252
HDV_479,986
HDV_482,1419
HDV_475,554
HDV_485,783
HDV_491,1110
HDV_487,585
HDV_488,268
HDV_494,1273
HDV_493,619
HDV_496,19
HDV_499,934
HDV_469,331
HDV_473,322
HDV_490,88
HDV_497,88
HDV_503,1104
HDV_500,87
HDV_509,50
HDV_508,986
HDV_506,409
HDV_512,216
HDV_502,584
HDV_515,1704
HDV_505,632
HDV_511,952
HDV_520,259
HDV_514,839
HDV_524,552
HDV_527,504
HDV_523,562
HDV_517,65
HDV_529,364
HDV_518,52
HDV_532,366
HDV_535,628
HDV_533,644
HDV_539,751
HDV_541,234
HDV_538,1014
HDV_530,899
HDV_544,94
HDV_547,71
HDV_545,476
HDV_526,936
HDV_550,603
HDV_548,173
HDV_521,308
HDV_551,148
HDV_554,640
HDV_553,1033
HDV_557,410
HDV_556,481
HDV_559,1690
HDV_562,320
HDV_565,783
HDV_560,334
HDV_563,333
HDV_568,492
HDV_569,204
HDV_571,1112
