vehicle_id,Waiting_time
HDV_2,985
HDV_4,1030
HDV_1,1477
HDV_5,169
HDV_10,788
HDV_8,947
HDV_13,918
HDV_7,522
HDV_11,490
HDV_16,14
HDV_14,220
HDV_19,952
HDV_17,483
HDV_22,81
HDV_28,673
HDV_26,212
HDV_25,625
HDV_23,624
HDV_29,469
HDV_31,416
HDV_35,985
HDV_37,1055
HDV_43,347
HDV_32,545
HDV_38,455
HDV_47,102
HDV_50,423
HDV_46,76
HDV_52,380
HDV_55,1738
HDV_56,516
HDV_41,144
HDV_58,161
HDV_59,413
HDV_67,121
HDV_70,1357
HDV_76,1033
HDV_62,28
HDV_79,1269
HDV_65,143
HDV_71,627
HDV_80,1073
HDV_85,746
HDV_73,411
HDV_82,1128
HDV_74,211
HDV_83,636
HDV_91,1036
HDV_94,1514
HDV_92,689
HDV_89,447
HDV_95,1543
HDV_98,1256
HDV_100,498
HDV_101,176
HDV_107,442
HDV_103,1219
HDV_109,789
HDV_110,606
HDV_106,936
HDV_116,342
HDV_104,382
HDV_112,842
HDV_113,776
HDV_119,716
HDV_118,451
HDV_115,278
HDV_122,155
HDV_121,539
HDV_124,483
HDV_125,916
HDV_131,416
HDV_127,611
HDV_130,698
HDV_133,368
HDV_137,1113
HDV_140,560
HDV_134,240
HDV_136,267
HDV_142,732
HDV_146,1677
HDV_148,639
HDV_145,959
HDV_149,1059
HDV_139,45
HDV_151,1045
HDV_152,594
HDV_157,1246
HDV_155,1852
HDV_158,455
HDV_160,684
HDV_161,1458
HDV_164,1686
HDV_167,369
HDV_154,473
HDV_169,64
HDV_163,537
HDV_166,622
HDV_170,1063
HDV_179,730
HDV_178,99
HDV_175,512
HDV_172,587
HDV_173,328
HDV_176,265
HDV_181,1708
HDV_190,1094
HDV_184,337
HDV_185,330
HDV_191,1345
HDV_193,909
HDV_196,408
HDV_182,200
HDV_200,1073
HDV_199,301
HDV_202,1058
HDV_205,1286
HDV_203,798
HDV_208,397
HDV_209,764
HDV_211,754
HDV_206,535
HDV_214,408
HDV_220,1554
HDV_218,447
HDV_226,329
HDV_215,1292
HDV_221,1473
HDV_223,541
HDV_229,404
HDV_230,754
HDV_224,796
HDV_235,445
HDV_232,1381
HDV_233,185
HDV_238,943
HDV_236,872
HDV_227,535
HDV_239,707
HDV_244,602
HDV_241,115
HDV_247,434
HDV_250,1117
HDV_242,188
HDV_251,905
HDV_248,1091
HDV_257,25
HDV_256,1177
HDV_259,159
HDV_254,506
HDV_263,643
HDV_253,778
HDV_262,815
HDV_268,86
HDV_269,1239
HDV_265,741
HDV_271,1366
HDV_260,568
HDV_272,788
HDV_266,62
HDV_277,1038
HDV_274,1007
HDV_275,1175
HDV_283,1343
HDV_278,685
HDV_281,607
HDV_290,729
HDV_292,696
HDV_296,1168
HDV_287,567
HDV_298,262
HDV_295,433
HDV_286,480
HDV_299,566
HDV_293,439
HDV_289,768
CAV_291,5
HDV_284,1337
