vehicle_id,Waiting_time
HDV_1,392
HDV_7,250
HDV_11,133
HDV_17,598
HDV_15,739
HDV_9,1125
HDV_13,72
HDV_19,58
HDV_29,131
HDV_37,32
HDV_45,545
HDV_21,209
HDV_5,255
HDV_31,518
HDV_49,304
HDV_61,284
HDV_25,329
HDV_55,296
HDV_33,816
HDV_39,480
HDV_73,134
HDV_53,353
HDV_71,535
HDV_35,120
HDV_67,625
HDV_69,119
HDV_57,396
HDV_65,357
HDV_43,103
HDV_75,618
HDV_89,334
CAV_92,112
HDV_63,88
CAV_96,87
HDV_91,803
CAV_106,75
HDV_95,211
HDV_99,746
HDV_115,484
HDV_103,477
HDV_81,299
HDV_107,167
HDV_97,133
HDV_111,604
HDV_121,547
HDV_83,342
HDV_105,117
HDV_113,290
CAV_122,259
HDV_41,712
HDV_93,1010
HDV_85,860
CAV_18,1
CAV_44,1
HDV_119,630
HDV_87,780
HDV_143,153
HDV_131,104
HDV_101,550
HDV_59,84
HDV_135,529
HDV_151,348
CAV_144,4
HDV_155,344
HDV_149,775
HDV_109,1061
HDV_117,611
HDV_79,25
HDV_159,969
HDV_123,880
HDV_125,1477
HDV_157,98
HDV_127,629
HDV_175,517
CAV_78,1
HDV_139,572
HDV_23,534
HDV_147,669
HDV_141,513
HDV_167,418
HDV_169,259
HDV_183,1054
HDV_145,587
HDV_177,1058
HDV_187,544
HDV_129,386
HDV_179,677
HDV_195,90
HDV_133,323
HDV_137,671
HDV_153,1168
HDV_207,514
HDV_165,1431
HDV_173,475
HDV_163,998
HDV_217,880
HDV_189,509
CAV_226,206
CAV_198,167
HDV_213,1293
HDV_227,660
HDV_237,779
HDV_225,1586
HDV_233,544
HDV_161,1080
HDV_203,421
CAV_228,313
CAV_234,310
HDV_243,622
HDV_229,431
CAV_236,278
CAV_242,293
HDV_185,955
HDV_193,931
HDV_239,1356
HDV_211,939
CAV_240,426
CAV_252,268
CAV_156,2
CAV_246,390
CAV_254,249
HDV_251,643
CAV_230,500
CAV_232,387
CAV_266,373
HDV_205,279
HDV_259,778
HDV_241,1302
HDV_235,308
HDV_245,649
HDV_209,270
HDV_263,49
CAV_256,208
CAV_270,350
HDV_265,1087
HDV_269,539
HDV_197,255
CAV_268,181
CAV_282,314
HDV_273,482
HDV_287,620
HDV_221,585
HDV_283,1146
HDV_279,1135
HDV_255,327
HDV_271,243
CAV_298,294
CAV_306,228
HDV_305,1399
HDV_315,607
HDV_171,664
HDV_291,159
HDV_299,331
HDV_253,182
HDV_191,1483
HDV_307,727
HDV_319,1439
CAV_320,204
HDV_309,1127
HDV_249,1087
CAV_196,1
HDV_323,562
HDV_199,1318
HDV_201,1264
HDV_325,965
CAV_274,107
CAV_158,2
CAV_296,105
CAV_304,101
CAV_204,12
HDV_321,1000
HDV_313,1200
HDV_231,832
HDV_247,1048
HDV_329,58
HDV_257,1012
HDV_293,283
HDV_261,634
CAV_328,499
HDV_267,955
CAV_390,638
HDV_345,309
HDV_275,1260
HDV_393,1196
HDV_297,1093
HDV_327,1427
HDV_303,33
HDV_337,1436
HDV_311,13
HDV_343,249
HDV_285,239
CAV_354,15
HDV_353,118
HDV_341,706
CAV_348,490
CAV_350,112
CAV_74,1
HDV_373,605
HDV_317,441
CAV_292,317
CAV_294,514
HDV_295,1073
CAV_110,3
HDV_367,139
CAV_118,1
HDV_339,1381
HDV_379,740
HDV_389,994
HDV_277,343
HDV_377,668
HDV_391,898
HDV_289,889
CAV_142,118
HDV_281,96
HDV_331,589
CAV_380,266
CAV_336,114
HDV_381,1150
HDV_383,780
CAV_386,175
HDV_387,567
HDV_301,520
HDV_351,1279
CAV_334,246
HDV_357,1346
HDV_363,758
HDV_365,1444
CAV_114,94
HDV_401,821
HDV_403,43
HDV_423,320
HDV_349,273
CAV_368,393
HDV_413,590
HDV_405,388
HDV_375,1242
HDV_335,265
CAV_422,346
HDV_369,502
CAV_382,523
HDV_417,425
HDV_355,25
HDV_359,257
CAV_424,326
CAV_132,72
HDV_347,254
CAV_428,263
HDV_429,859
CAV_272,1
HDV_371,279
HDV_435,596
HDV_439,897
HDV_477,671
CAV_432,336
HDV_425,300
HDV_385,231
CAV_480,620
CAV_444,254
CAV_442,3
HDV_397,209
HDV_447,1016
HDV_441,521
HDV_333,471
HDV_443,111
HDV_395,492
CAV_326,1
HDV_421,712
HDV_445,1013
HDV_455,453
HDV_457,431
HDV_411,380
HDV_453,789
CAV_476,757
HDV_467,438
HDV_415,363
CAV_482,686
HDV_419,242
HDV_449,338
HDV_469,893
HDV_459,1074
HDV_481,1212
CAV_356,312
CAV_364,277
CAV_378,227
HDV_399,295
CAV_400,338
CAV_318,77
CAV_398,208
CAV_404,89
CAV_406,330
CAV_408,85
CAV_88,121
CAV_410,81
CAV_434,88
CAV_426,317
HDV_427,257
CAV_440,304
HDV_433,470
CAV_446,76
CAV_450,289
CAV_436,66
HDV_451,664
HDV_471,978
HDV_473,409
CAV_490,259
HDV_407,547
HDV_495,340
CAV_126,1
CAV_308,1
CAV_188,1
CAV_162,106
HDV_461,693
HDV_493,719
HDV_497,215
HDV_487,498
CAV_170,92
CAV_316,1
CAV_36,1
CAV_164,1
HDV_431,191
CAV_280,1
CAV_150,196
CAV_116,1
CAV_330,202
HDV_409,347
HDV_437,1020
HDV_463,807
HDV_361,775
CAV_474,369
CAV_146,174
HDV_489,1107
HDV_491,95
CAV_396,155
CAV_166,269
HDV_475,557
CAV_454,71
CAV_496,220
CAV_472,449
CAV_468,66
CAV_486,194
HDV_499,1035
CAV_180,51
CAV_494,224
HDV_479,326
HDV_483,321
HDV_485,313
CAV_344,112
CAV_460,116
CAV_388,3
CAV_80,1
CAV_452,193
CAV_464,182
CAV_374,1
CAV_342,149
CAV_186,210
CAV_458,1
CAV_498,129
CAV_470,125
CAV_184,86
CAV_484,191
CAV_488,181
CAV_384,233
CAV_202,489
CAV_224,250
CAV_412,1
CAV_160,1
