vehicle_id,Waiting_time
HDV_4,710
HDV_2,1460
HDV_1,705
HDV_7,1393
HDV_5,760
HDV_11,1390
HDV_13,551
HDV_8,1300
HDV_17,600
HDV_14,1704
HDV_10,761
HDV_19,155
HDV_23,1213
HDV_20,675
HDV_16,1515
HDV_26,676
HDV_25,1805
HDV_32,520
HDV_28,755
HDV_38,260
HDV_29,41
HDV_35,857
HDV_31,410
HDV_22,1416
HDV_34,1419
HDV_37,1291
HDV_41,1080
HDV_43,67
HDV_44,783
HDV_47,439
HDV_40,577
HDV_52,1238
HDV_53,1106
HDV_55,619
HDV_58,63
HDV_46,637
HDV_49,456
HDV_56,220
HDV_59,261
HDV_62,1590
HDV_70,81
HDV_68,707
HDV_50,116
HDV_71,853
HDV_74,1358
HDV_80,242
HDV_82,477
HDV_67,753
HDV_79,483
HDV_73,1245
HDV_65,398
CAV_75,1
HDV_85,1263
HDV_77,636
HDV_91,1123
HDV_76,740
HDV_89,1061
HDV_88,454
HDV_83,293
HDV_94,999
HDV_95,909
HDV_97,606
HDV_98,652
HDV_100,340
HDV_101,515
HDV_104,1337
HDV_106,11
HDV_107,711
HDV_110,619
HDV_109,542
HDV_103,1147
HDV_112,1390
HDV_116,835
HDV_115,1992
HDV_119,204
HDV_113,898
HDV_121,1813
HDV_118,209
HDV_130,951
HDV_139,964
HDV_131,878
HDV_125,544
HDV_124,245
HDV_137,346
HDV_128,277
HDV_143,827
HDV_134,226
HDV_146,22
HDV_136,388
HDV_148,707
HDV_142,1621
HDV_149,1183
HDV_145,243
HDV_140,965
HDV_151,50
HDV_133,775
HDV_154,2
CAV_114,1
HDV_158,1691
HDV_167,991
HDV_155,698
HDV_170,946
HDV_164,285
HDV_160,437
HDV_173,1055
HDV_161,1055
HDV_176,963
HDV_178,525
HDV_175,565
HDV_184,882
HDV_163,294
HDV_169,1246
HDV_185,956
HDV_187,653
HDV_188,125
HDV_179,194
HDV_190,427
HDV_191,582
HDV_193,526
HDV_181,410
HDV_197,755
HDV_194,73
HDV_200,593
HDV_196,2170
HDV_202,578
HDV_182,269
HDV_206,403
HDV_203,169
HDV_212,442
HDV_215,502
HDV_199,888
HDV_217,1649
HDV_205,474
HDV_211,1528
HDV_220,1223
HDV_226,821
HDV_224,2074
HDV_227,442
HDV_221,41
HDV_230,22
HDV_236,716
HDV_229,1242
HDV_239,773
CAV_120,1
HDV_218,265
HDV_223,584
HDV_241,74
