vehicle_id,Waiting_time
HDV_1,643
HDV_7,338
HDV_11,182
HDV_17,1034
HDV_15,1341
HDV_9,1127
HDV_13,121
HDV_19,1249
HDV_29,230
HDV_37,21
HDV_45,357
HDV_21,358
HDV_31,349
HDV_5,891
HDV_47,18
HDV_49,744
CAV_4,1
HDV_61,632
HDV_25,778
HDV_55,688
HDV_33,764
HDV_39,305
HDV_73,281
HDV_35,267
HDV_53,741
HDV_69,265
HDV_67,723
HDV_57,1032
HDV_65,809
HDV_59,267
HDV_43,694
HDV_75,1005
HDV_89,770
CAV_92,247
HDV_63,399
CAV_96,238
HDV_91,1060
HDV_79,164
CAV_106,225
HDV_51,200
HDV_95,191
HDV_115,1055
HDV_107,455
HDV_99,688
HDV_97,529
HDV_41,881
HDV_121,1194
HDV_103,350
HDV_83,685
HDV_111,619
HDV_105,513
CAV_122,495
HDV_113,153
HDV_131,406
HDV_135,732
HDV_85,1106
HDV_123,363
HDV_87,1463
HDV_93,1219
HDV_129,832
HDV_101,444
HDV_133,758
HDV_137,930
HDV_117,397
CAV_140,76
HDV_163,1479
HDV_159,1116
HDV_153,555
CAV_210,94
HDV_157,342
HDV_165,1103
HDV_175,728
HDV_161,1097
CAV_166,405
HDV_173,362
HDV_139,1135
HDV_147,1628
CAV_194,4
HDV_71,135
HDV_125,1277
HDV_151,405
HDV_169,651
HDV_127,881
HDV_141,290
HDV_183,876
HDV_197,564
HDV_143,421
HDV_203,294
HDV_167,612
CAV_76,1
CAV_60,1
HDV_181,452
HDV_177,814
HDV_205,969
HDV_195,545
HDV_23,775
HDV_145,236
CAV_208,139
HDV_209,766
HDV_171,984
CAV_216,71
HDV_191,1249
CAV_218,611
HDV_215,186
HDV_149,179
HDV_199,2132
HDV_201,1905
CAV_202,816
HDV_235,138
HDV_229,822
HDV_237,221
CAV_224,957
HDV_231,1480
HDV_263,434
HDV_219,257
HDV_155,91
HDV_251,141
HDV_223,401
HDV_109,940
HDV_247,2054
HDV_119,400
HDV_249,1231
HDV_207,390
HDV_269,583
HDV_257,2605
HDV_261,1024
HDV_273,523
HDV_285,346
HDV_267,2410
CAV_258,84
HDV_189,1189
HDV_299,481
CAV_260,65
HDV_275,2216
CAV_214,326
CAV_78,15
HDV_253,831
HDV_187,307
HDV_213,1163
CAV_164,1
HDV_221,717
CAV_26,1
CAV_274,49
HDV_225,1465
HDV_217,1136
CAV_244,318
