vehicle_id,Waiting_time
CAV_0,498
HDV_1,350
CAV_2,130
CAV_4,98
CAV_6,375
HDV_3,1
HDV_7,227
CAV_8,113
HDV_5,413
HDV_9,611
HDV_11,184
CAV_10,252
CAV_12,304
CAV_14,322
HDV_13,123
CAV_16,559
HDV_17,416
CAV_18,355
HDV_15,515
HDV_19,357
HDV_21,160
CAV_20,286
HDV_23,240
CAV_22,427
CAV_24,170
HDV_25,349
HDV_27,1
CAV_26,244
CAV_28,242
HDV_31,180
CAV_30,164
HDV_29,151
CAV_32,378
HDV_33,214
HDV_35,121
CAV_34,396
HDV_37,1
HDV_39,493
CAV_36,325
HDV_41,211
CAV_38,233
HDV_43,81
CAV_40,544
CAV_44,427
CAV_42,391
HDV_45,296
HDV_47,559
CAV_48,126
CAV_46,331
HDV_51,300
HDV_49,379
CAV_52,235
HDV_53,494
HDV_55,247
CAV_50,349
HDV_57,446
CAV_58,1
HDV_59,1
CAV_56,620
CAV_54,337
HDV_61,287
CAV_60,507
HDV_63,53
CAV_62,146
CAV_66,15
HDV_65,414
CAV_64,344
HDV_67,238
HDV_69,122
CAV_68,222
HDV_71,405
CAV_70,10
CAV_72,116
HDV_73,400
CAV_76,1
HDV_75,599
CAV_74,103
CAV_78,452
HDV_77,876
HDV_79,1
HDV_81,1
CAV_80,323
CAV_82,309
HDV_83,128
CAV_84,326
HDV_85,201
CAV_86,554
CAV_88,262
HDV_89,673
HDV_87,404
CAV_90,144
HDV_91,198
HDV_93,608
CAV_92,462
HDV_95,302
CAV_94,154
CAV_96,457
CAV_98,207
HDV_99,195
HDV_97,45
HDV_101,388
CAV_100,265
HDV_103,62
CAV_104,600
CAV_102,1
CAV_106,402
HDV_105,21
HDV_107,55
CAV_108,155
HDV_111,159
CAV_110,190
HDV_109,651
CAV_114,506
HDV_113,223
CAV_112,242
CAV_116,1
HDV_115,445
CAV_118,119
HDV_119,631
HDV_117,207
HDV_121,502
CAV_120,539
HDV_123,214
CAV_124,152
CAV_122,418
CAV_126,193
CAV_128,1
HDV_125,97
HDV_129,1
HDV_131,1
CAV_130,1
HDV_127,498
CAV_132,477
HDV_133,1
CAV_134,233
HDV_135,421
HDV_137,231
CAV_138,186
CAV_136,568
HDV_139,356
CAV_140,436
HDV_141,85
HDV_143,351
CAV_142,1
HDV_145,126
CAV_144,37
CAV_146,1
CAV_148,508
HDV_147,439
CAV_150,344
HDV_151,268
HDV_149,543
HDV_153,512
CAV_154,21
CAV_152,433
HDV_157,399
CAV_158,580
HDV_159,463
HDV_155,397
HDV_161,1
CAV_160,581
CAV_156,312
HDV_163,291
CAV_162,386
CAV_164,367
HDV_165,439
CAV_166,1
HDV_167,283
CAV_168,1
CAV_170,354
HDV_169,115
CAV_172,1
CAV_174,253
HDV_171,401
HDV_175,406
HDV_173,140
CAV_176,494
HDV_177,289
CAV_178,130
HDV_179,420
HDV_181,390
CAV_180,307
CAV_184,263
HDV_183,268
CAV_182,561
HDV_185,494
HDV_187,341
CAV_188,296
CAV_186,546
HDV_189,118
CAV_190,306
HDV_191,253
CAV_192,390
HDV_193,557
CAV_194,1
HDV_195,120
CAV_196,316
CAV_198,100
HDV_199,447
HDV_197,106
CAV_200,417
HDV_201,425
CAV_202,405
CAV_204,442
HDV_203,136
CAV_206,107
HDV_207,15
HDV_205,1
HDV_211,402
CAV_208,429
CAV_210,351
HDV_209,307
CAV_212,246
HDV_213,337
HDV_215,376
CAV_216,127
CAV_214,1
HDV_217,231
CAV_218,307
HDV_219,256
HDV_221,246
CAV_220,339
CAV_224,377
HDV_223,1
CAV_222,291
HDV_225,358
CAV_226,197
HDV_227,288
HDV_229,1
CAV_228,279
CAV_230,294
HDV_231,355
CAV_234,266
HDV_233,206
CAV_232,235
CAV_236,246
HDV_235,320
HDV_237,274
CAV_238,428
HDV_239,232
HDV_241,210
CAV_242,216
CAV_244,233
CAV_240,222
HDV_245,188
HDV_243,97
HDV_247,299
CAV_246,213
CAV_248,369
HDV_249,220
HDV_251,538
CAV_250,254
CAV_252,239
HDV_253,1
CAV_256,162
HDV_255,306
CAV_254,220
HDV_257,274
HDV_259,398
CAV_258,184
HDV_261,251
CAV_262,274
CAV_260,137
HDV_263,1
CAV_264,1
CAV_266,177
HDV_267,216
HDV_265,171
CAV_268,119
HDV_269,461
CAV_270,158
HDV_271,215
CAV_272,306
CAV_274,124
HDV_273,416
HDV_275,192
HDV_277,276
CAV_276,390
HDV_279,85
CAV_280,284
CAV_278,273
CAV_282,189
CAV_284,89
HDV_283,340
HDV_281,214
HDV_285,100
HDV_287,171
HDV_289,69
CAV_288,266
CAV_286,196
CAV_290,201
HDV_291,233
CAV_292,324
HDV_293,215
CAV_296,315
CAV_294,309
HDV_297,162
HDV_299,345
CAV_298,278
HDV_301,34
HDV_295,295
CAV_302,209
CAV_300,168
CAV_304,228
HDV_303,76
HDV_305,219
CAV_306,149
HDV_307,244
HDV_309,174
CAV_308,300
CAV_310,288
HDV_311,1
CAV_314,150
HDV_313,195
CAV_312,152
HDV_315,101
CAV_316,276
HDV_319,193
HDV_317,111
CAV_318,110
HDV_321,119
CAV_320,180
CAV_322,140
HDV_323,189
CAV_324,103
HDV_325,129
CAV_326,75
HDV_327,155
CAV_328,142
HDV_329,99
HDV_331,63
CAV_330,14
CAV_332,123
CAV_334,231
HDV_333,78
HDV_335,238
HDV_337,148
CAV_336,40
CAV_338,117
HDV_339,197
CAV_340,18
CAV_342,90
HDV_341,142
HDV_343,1
HDV_345,257
HDV_347,135
CAV_346,42
CAV_348,141
HDV_349,81
CAV_344,64
CAV_350,132
HDV_351,88
CAV_352,8
HDV_353,8
HDV_355,34
CAV_354,248
HDV_357,76
HDV_359,64
CAV_358,121
CAV_356,135
CAV_360,259
CAV_362,1
HDV_361,78
HDV_363,118
CAV_364,128
HDV_365,61
HDV_367,1
CAV_366,1
HDV_369,73
CAV_370,77
CAV_368,47
HDV_371,1
CAV_372,64
HDV_373,28
HDV_375,32
CAV_374,56
CAV_376,1
HDV_377,58
HDV_379,44
CAV_378,112
CAV_380,48
CAV_382,18
CAV_384,48
HDV_381,36
HDV_383,26
HDV_385,1
HDV_389,39
CAV_386,17
CAV_388,1
HDV_387,8
CAV_390,1
CAV_392,1
HDV_391,210
CAV_394,1
HDV_393,2
HDV_395,214
CAV_396,1
HDV_397,1
CAV_398,78
CAV_400,76
HDV_401,104
HDV_399,19
HDV_403,1
CAV_402,113
CAV_404,62
CAV_406,39
HDV_407,1
HDV_405,1
CAV_408,50
HDV_409,1
CAV_410,38
HDV_411,1
CAV_412,1
HDV_413,80
CAV_414,28
HDV_415,1
HDV_417,1
CAV_418,6
CAV_416,1
CAV_420,1
HDV_421,40
HDV_419,1
HDV_423,85
CAV_422,61
HDV_425,1
HDV_427,14
CAV_426,1
CAV_428,56
CAV_424,47
CAV_430,1
CAV_432,1
HDV_429,35
CAV_434,1
HDV_433,1
HDV_435,53
HDV_431,1
HDV_437,1
CAV_436,1
CAV_438,75
CAV_440,1
HDV_439,17
HDV_441,11
CAV_442,35
HDV_443,1
CAV_444,3
HDV_445,24
CAV_446,1
HDV_447,1
HDV_449,62
CAV_450,1
CAV_448,1
CAV_452,22
CAV_454,1
HDV_453,1
HDV_451,1
HDV_455,1
CAV_456,1
CAV_458,1
HDV_457,1
HDV_459,1
HDV_461,1
CAV_462,1
CAV_460,1
CAV_464,1
HDV_465,1
HDV_463,1
HDV_467,1
CAV_466,1
CAV_468,1
CAV_470,1
HDV_469,1
HDV_471,1
CAV_472,1
CAV_474,1
HDV_475,1
HDV_473,1
CAV_476,1
HDV_477,1
CAV_478,1
HDV_479,1
CAV_480,1
HDV_481,1
CAV_482,7
HDV_483,1
CAV_486,1
HDV_487,1
CAV_484,1
HDV_485,1
HDV_489,1
CAV_490,1
CAV_488,1
CAV_492,1
HDV_493,1
HDV_491,1
HDV_495,1
CAV_494,1
HDV_497,1
CAV_496,1
CAV_498,1
