vehicle_id,Waiting_time
HDV_4,537
HDV_2,982
HDV_1,505
HDV_7,643
HDV_5,609
HDV_11,676
HDV_13,376
HDV_10,587
HDV_8,125
HDV_14,1105
HDV_17,188
HDV_19,175
HDV_23,680
HDV_20,470
HDV_26,613
HDV_16,912
HDV_25,887
HDV_32,444
HDV_28,853
HDV_38,654
HDV_35,147
HDV_31,204
HDV_34,541
HDV_41,445
HDV_22,203
HDV_40,122
HDV_37,229
HDV_44,584
HDV_43,191
HDV_47,1310
HDV_46,830
HDV_52,736
HDV_49,520
HDV_53,651
HDV_55,418
HDV_58,339
HDV_62,473
HDV_59,442
HDV_70,386
HDV_64,182
HDV_74,1090
HDV_67,249
HDV_80,407
HDV_79,939
HDV_73,190
HDV_65,410
HDV_76,1090
HDV_83,1028
HDV_77,75
HDV_86,84
HDV_85,522
HDV_82,149
HDV_95,280
HDV_89,36
HDV_97,1144
HDV_91,22
HDV_98,514
HDV_101,1604
HDV_104,483
HDV_103,1019
HDV_94,729
HDV_107,625
HDV_106,590
HDV_100,179
HDV_116,513
HDV_112,1231
HDV_113,623
HDV_115,665
HDV_119,617
HDV_110,378
HDV_124,239
HDV_121,507
HDV_118,238
HDV_122,294
HDV_127,538
HDV_133,1014
HDV_128,946
HDV_139,812
HDV_131,717
HDV_125,197
HDV_137,37
HDV_134,307
HDV_140,1037
HDV_143,633
HDV_130,1024
HDV_142,1144
HDV_149,949
HDV_146,177
HDV_155,1570
HDV_151,11
HDV_158,635
HDV_163,25
HDV_167,674
HDV_170,214
HDV_160,454
HDV_173,751
HDV_161,350
HDV_172,671
HDV_175,645
HDV_176,774
HDV_169,467
HDV_178,540
HDV_164,147
HDV_188,491
HDV_187,537
HDV_181,451
HDV_182,137
HDV_179,57
HDV_191,360
HDV_190,332
HDV_197,766
HDV_200,832
HDV_184,471
HDV_199,526
HDV_196,631
HDV_185,379
HDV_202,292
HDV_193,340
HDV_205,256
HDV_194,304
HDV_203,394
HDV_206,17
HDV_212,705
HDV_208,41
HDV_211,436
HDV_217,1296
HDV_220,1436
HDV_221,353
HDV_215,183
HDV_226,300
HDV_223,820
HDV_224,498
HDV_218,1022
HDV_232,792
HDV_230,988
HDV_229,1367
HDV_235,688
HDV_233,366
HDV_239,230
HDV_236,203
HDV_227,21
HDV_241,833
HDV_238,302
HDV_242,1180
HDV_248,900
HDV_245,396
HDV_244,933
HDV_250,361
HDV_259,1552
HDV_254,232
HDV_251,796
HDV_257,300
HDV_256,837
HDV_253,272
HDV_260,6
HDV_263,76
HDV_266,478
HDV_268,533
HDV_262,543
HDV_265,72
HDV_271,903
HDV_274,707
HDV_269,729
HDV_275,589
HDV_277,621
HDV_278,637
HDV_272,149
HDV_280,12
HDV_286,923
HDV_287,1184
HDV_289,948
HDV_283,430
HDV_284,33
HDV_292,325
HDV_281,538
HDV_296,1449
HDV_293,112
HDV_299,834
HDV_295,165
HDV_298,1201
HDV_301,429
HDV_302,603
HDV_304,627
HDV_305,446
HDV_290,146
HDV_313,892
HDV_310,251
HDV_316,403
HDV_308,783
HDV_314,195
HDV_319,962
HDV_317,329
HDV_320,771
HDV_322,186
HDV_328,316
HDV_323,118
HDV_326,670
HDV_325,434
HDV_331,942
HDV_335,639
HDV_337,231
HDV_329,499
HDV_343,305
HDV_338,341
HDV_340,1378
HDV_350,244
HDV_349,824
HDV_346,157
HDV_352,1693
HDV_356,937
HDV_353,573
HDV_344,446
HDV_355,873
HDV_362,277
HDV_359,251
HDV_364,545
HDV_361,869
HDV_365,117
HDV_368,553
HDV_370,504
HDV_371,765
HDV_373,1531
HDV_376,2178
HDV_367,541
HDV_374,661
HDV_377,317
HDV_382,378
HDV_380,145
HDV_383,263
HDV_386,956
HDV_385,323
HDV_388,99
HDV_392,588
HDV_398,1011
HDV_391,826
HDV_379,11
HDV_400,1459
HDV_404,473
HDV_401,807
HDV_395,658
HDV_403,657
HDV_406,507
CAV_411,1
HDV_409,201
HDV_389,694
HDV_397,402
HDV_407,300
HDV_412,611
HDV_416,970
HDV_394,260
HDV_413,990
HDV_419,799
HDV_410,32
HDV_418,768
HDV_415,875
HDV_424,1092
HDV_421,741
HDV_428,527
HDV_425,1085
HDV_430,852
HDV_427,1196
HDV_422,308
HDV_431,299
HDV_434,862
HDV_437,653
HDV_436,330
HDV_433,68
HDV_449,728
HDV_440,268
HDV_445,1057
HDV_442,898
HDV_443,767
HDV_448,1325
HDV_452,1087
HDV_454,204
HDV_455,87
HDV_451,1545
HDV_460,634
HDV_461,664
HDV_457,216
HDV_463,732
HDV_458,85
HDV_464,682
HDV_467,843
HDV_466,527
HDV_472,960
HDV_481,1093
HDV_478,398
HDV_482,985
HDV_479,500
HDV_476,453
HDV_485,711
HDV_491,402
HDV_487,294
HDV_488,384
HDV_470,40
HDV_494,1106
HDV_475,346
HDV_497,372
HDV_490,219
HDV_503,483
HDV_500,303
HDV_496,438
HDV_499,311
HDV_469,70
HDV_473,377
HDV_493,524
HDV_502,463
HDV_508,427
HDV_509,61
HDV_506,253
HDV_512,335
HDV_505,164
HDV_511,342
HDV_515,394
HDV_520,618
HDV_521,768
HDV_517,936
HDV_518,813
HDV_527,472
HDV_526,438
HDV_524,669
HDV_514,365
HDV_529,493
HDV_532,482
HDV_530,485
HDV_535,996
HDV_533,451
HDV_539,503
HDV_523,232
HDV_541,399
HDV_538,644
HDV_544,238
HDV_547,214
HDV_548,493
HDV_553,765
HDV_551,63
CAV_522,10
HDV_554,590
HDV_559,879
HDV_550,206
HDV_560,855
HDV_565,268
HDV_568,94
HDV_562,109
HDV_569,715
HDV_566,505
HDV_563,2
HDV_557,35
HDV_571,542
HDV_575,123
HDV_556,139
HDV_581,1157
HDV_574,398
HDV_577,729
HDV_584,393
HDV_578,410
HDV_583,223
HDV_587,130
HDV_586,241
HDV_593,971
HDV_599,614
HDV_592,1104
HDV_595,734
HDV_604,1199
HDV_589,478
HDV_590,464
HDV_608,1306
HDV_607,601
HDV_610,1499
HDV_611,1136
HDV_614,913
HDV_616,1030
HDV_617,186
HDV_601,125
HDV_605,361
HDV_613,241
HDV_620,215
HDV_596,210
HDV_622,373
HDV_619,514
HDV_626,13
HDV_625,19
HDV_634,675
HDV_631,159
HDV_637,906
HDV_632,218
HDV_635,552
HDV_641,285
HDV_644,37
HDV_646,1084
HDV_643,279
HDV_649,34
HDV_655,668
HDV_653,719
HDV_656,519
HDV_658,1172
HDV_662,215
HDV_661,621
HDV_628,463
HDV_664,125
HDV_640,400
HDV_668,901
HDV_670,1
HDV_671,243
HDV_665,37
HDV_676,273
HDV_682,1074
HDV_673,621
HDV_667,949
HDV_680,598
HDV_677,385
HDV_685,1219
HDV_683,1154
HDV_689,601
HDV_691,634
HDV_674,282
HDV_694,319
HDV_695,538
HDV_698,303
HDV_697,344
HDV_700,771
HDV_703,258
HDV_701,1381
HDV_704,1230
HDV_706,1116
HDV_707,1351
HDV_709,560
HDV_722,121
HDV_713,822
HDV_716,575
HDV_715,728
HDV_710,48
HDV_718,701
HDV_731,751
HDV_727,681
HDV_730,224
HDV_724,40
HDV_734,508
HDV_721,316
HDV_739,531
HDV_719,105
HDV_736,56
HDV_740,660
HDV_737,145
HDV_743,470
HDV_742,826
HDV_748,438
HDV_751,364
HDV_746,876
HDV_745,592
HDV_749,253
HDV_757,574
HDV_754,31
HDV_764,646
HDV_763,529
HDV_752,251
HDV_760,276
HDV_770,419
HDV_773,484
HDV_761,331
HDV_776,150
HDV_733,205
HDV_775,296
HDV_755,201
HDV_769,380
HDV_767,245
HDV_781,222
HDV_778,136
HDV_782,254
HDV_779,128
HDV_785,52
